"sec"	"mA"	"mV"
56.869    -0.0062073040753603    -300.213348388672
57.864    -0.0062073040753603    -300.138305664063
58.865    -0.0059632551856339    -300.175811767578
59.867    -0.00612630043178797    -300.250885009766
60.854    -0.00612630043178797    -300.326385498047
61.854    -0.00580124836415052    -300.250885009766
62.852    -0.00572024472057819    -300.175811767578
63.852    -0.00580124836415052    -300.250885009766
64.843    -0.00572024472057819    -300.250885009766
65.84    -0.00563924154266715    -300.250885009766
66.839    -0.00563924154266715    -300.213348388672
67.839    -0.00563924154266715    -300.175811767578
68.839    -0.00547723472118378    -300.250885009766
69.833    -0.00555823789909482    -300.175811767578
70.83    -0.00555823789909482    -300.175811767578
71.823    -0.00555823789909482    -300.213348388672
72.824    -0.00563924154266715    -300.213348388672
73.817    -0.00547723472118378    -300.213348388672
74.816    -0.00539519265294075    -300.250885009766
75.812    -0.00531418900936842    -300.250885009766
76.82    -0.00531418900936842    -300.213348388672
77.808    -0.00523318583145738    -300.213348388672
78.808    -0.00515218218788505    -300.175811767578
79.802    -0.00490917218849063    -300.175811767578
80.806    -0.00490917218849063    -300.175811767578
81.797    -0.00474612647667527    -300.138305664063
82.8    -0.0048281685449183    -300.213348388672
83.792    -0.00474612647667527    -300.175811767578
84.792    -0.00474612647667527    -300.175811767578
85.787    -0.00466512329876423    -300.175811767578
86.784    -0.0045841196551919    -300.288391113281
87.789    -0.0045841196551919    -300.250885009766
88.778    -0.00466512329876423    -300.250885009766
89.777    -0.0045841196551919    -300.213348388672
90.777    -0.00466512329876423    -300.175811767578
91.771    -0.0045841196551919    -300.213348388672
92.775    -0.0045841196551919    -300.138305664063
93.771    -0.00450311647728086    -300.250885009766
94.763    -0.00442211283370852    -300.250885009766
95.762    -0.00442211283370852    -300.100769042969
96.762    -0.00434110965579748    -300.175811767578
97.756    -0.00434110965579748    -300.138305664063
98.753    -0.00409706076607108    -300.250885009766
99.755    -0.00434110965579748    -300.175811767578
100.17    -0.00434110965579748    -300.175811767578
100.756    0.0518036186695099    -250.190536499023
101.746    0.0141577906906605    -250.115005493164
102.743    0.00653100525960326    -250.115005493164
103.74    0.00312366848811507    -250.115005493164
104.738    0.00158148782793432    -250.190536499023
105.738    0.000283355853753164    -250.190536499023
106.732    -0.000446713587734848    -250.190536499023
107.731    -0.000608720467425883    -250.153015136719
