"sec"	"mA"	"mV"
150,611	0,547771036624908	-2,7810218334198
151,607	0,788412511348724	1,277703166008
152,603	1,01396346092224	-3,08168578147888
153,599	1,20162451267242	0,150092452764511
154,602	0,0469351038336754	-0,751899838447571
155,593	1,19164550304413	-0,413712859153748
156,596	-0,396133959293365	-0,188094526529312
157,591	1,01428747177124	-0,263140290975571
158,587	0,836200416088104	-0,488758623600006
159,586	0,62306272983551	-0,413712859153748
160,578	0,40432745218277	-0,0750448182225227
161,58	0,271511942148209	-0,638850152492523
162,579	-1,16600716114044	0,563806295394897
163,572	0,169689565896988	-1,57836532592773
164,569	0,133017867803574	-0,0750448182225227
165,571	-0,495196998119354	-1,61636924743652
166,562	0,129934549331665	0,112569577991962
167,564	0,0993474423885345	-3,5329225063324
168,56	0,20368504524231	0,0750467032194138
169,558	0,47986313700676	-2,74349880218506
170,551	0,201899856328964	-0,751899838447571
171,556	0,8758744597435	-3,45787668228149
172,55	1,07375860214233	-0,488758623600006
173,548	0,989948034286499	-2,51836156845093
174,541	-0,0320889391005039	0,263142168521881
175,546	1,08836197853088	-1,12760972976685
176,543	0,86143296957016	-0,188094526529312
177,54	0,815511286258698	-0,563804388046265
178,534	0,565944910049438	-0,263140290975571
179,534	0,640587508678436	-0,225617408752441
180,533	0,437916874885559	-0,601327240467072
181,529	0,350697994232178	0,0750467032194138
182,524	0,203035980463028	-0,826945602893829
183,518	0,183645009994507	9,39575329539366E-7
184,523	-0,928693115711212	9,39575329539366E-7
185,519	-0,73235011100769	1,57836723327637
186,517	-0,524405002593994	-1,3532280921936
187,514	-0,350536286830902	1,76646268367767
188,507	0,0586182922124863	0,413233697414398
189,508	0,129366487264633	4,96071815490723
190,501	0,235408276319504	-0,263140290975571
191,499	0,25390613079071	5,37443208694458
192,498	0,808371603488922	-1,05256390571594
193,494	0,38558554649353	3,6454930305481
194,49	0,413333356380463	-0,601327240467072
195,493	1,25598406791687	0,225619286298752
196,483	0,405301570892334	-0,977037131786346
197,487	1,11594784259796	-0,150571644306183
198,48	0,890802979469299	-0,488758623600006
199,477	-0,744682371616364	9,39575329539366E-7
200,479	0,308265686035156	9,39575329539366E-7
201,477	0,190054669976234	-1,3532280921936
202,474	-0,092614084482193	1,57836723327637
203,468	0,0250288676470518	-0,263140290975571
204,464	0,141455724835396	4,84814929962158
205,463	0,217477440834045	-0,113048762083054
206,461	0,326601535081863	3,6454930305481
207,461	0,373172283172607	0,0750467032194138
208,455	0,289361774921417	1,80398559570313
209,456	-0,00669332453981042	-0,225617408752441
210,454	0,772266864776611	-0,375708937644958
211,452	0,736163258552551	-0,0750448182225227
212,447	-1,02086043357849	-0,150571644306183
213,443	-1,35902380943298	0,939516127109528
214,441	-1,32778763771057	0,563806295394897
215,441	0,0228386577218771	2,70597791671753
216,434	-0,501525640487671	-0,263140290975571
217,436	0,216260313987732	4,5474853515625
218,429	0,340637981891632	-1,3532280921936
219,423	0,686347186565399	2,55540537834167
220,422	0,957737743854523	-2,55588436126709
221,424	0,198167473077774	1,05208480358124
222,42	0,00864021014422178	-0,338186055421829
223,417	-0,412846624851227	0,225619286298752
224,416	-0,690484821796417	-0,263140290975571
225,416	-1,01810109615326	0,0750467032194138
226,406	0,493736535310745	-0,338186055421829
227,408	-1,42036008834839	0,563806295394897
228,403	-1,42393040657043	2,17969536781311
229,398	-1,26385414600372	1,20265734195709
230,4	-1,04025042057037	3,00664186477661
231,401	0,096264123916626	-1,84150660037994
232,394	-0,366357922554016	2,8935923576355
233,39	-0,135614439845085	-2,14217066764832
234,387	0,152813851833344	2,17969536781311
235,39	0,325547456741333	-1,31570518016815
236,385	0,607648193836212	1,80398559570313
237,383	0,823787152767181	-1,84150660037994
238,377	0,98929899930954	0,788943529129028
239,373	1,05801892280579	-2,7810218334198
240,374	0,0779282674193382	0,977039039134979
241,369	1,16430270671844	-2,21769738197327
242,368	-0,0787396505475044	0,0375238209962845
243,361	1,13193154335022	-1,27770125865936
244,363	-0,493249803781509	9,39575329539366E-7
245,361	-0,643915116786957	-0,0750448182225227
246,356	-1,22531628608704	0,0750467032194138
247,356	-1,30896472930908	0,638852000236511
248,35	-1,25663340091705	0,0750467032194138
249,344	0,404895514249802	-0,150571644306183
250,343	-1,31529235839844	0,150092452764511
251,346	-1,40178120136261	1,42827570438385
252,341	-1,14661622047424	0,0750467032194138
253,337	-1,05452990531921	1,277703166008
254,338	-0,958387076854706	-0,3006631731987
255,328	0,0614586062729359	0,488279432058334
256,328	-0,769427895545959	-0,526281535625458
257,331	-0,537711322307587	2,74350070953369
258,323	-0,391509503126144	-0,563804388046265
259,319	-0,167905747890472	2,66845488548279
260,322	-0,0355772785842419	-3,45787668228149
261,312	0,152083784341812	1,57836723327637
262,317	0,311673015356064	-4,09672784805298
263,311	0,48805695772171	-0,150571644306183
264,306	0,611947596073151	-4,3598690032959
265,309	0,255204290151596	-0,188094526529312
266,307	0,21455717086792	-2,10464787483215
267,303	0,18121075630188	-0,150571644306183
268,296	1,0099880695343	-2,66845321655273
269,294	1,08868706226349	-0,375708937644958
270,297	-0,236381679773331	-0,488758623600006
271,291	-0,66728150844574	-0,113048762083054
272,291	-0,90013313293457	-0,150571644306183
273,283	0,619574368000031	-0,263140290975571
274,286	-1,17363393306732	0,0375238209962845
275,284	-1,34604251384735	-0,150571644306183
276,281	-1,33995687961578	0,263142168521881
277,277	-1,07010746002197	-0,789422750473022
278,272	-1,03010940551758	9,39575329539366E-7
279,271	-0,672636032104492	-2,40531182289124
280,269	-0,503634870052338	-0,0375219397246838
281,263	-0,253014385700226	-3,30730414390564
282,262	-0,0442581474781036	-0,150571644306183
283,259	0,232000946998596	-4,50996065139771
284,253	0,43386048078537	-0,451235741376877
285,252	0,623955845832825	-4,09672784805298
286,251	0,771130740642548	-0,789422750473022
287,249	0,896401524543762	-3,87110948562622
288,246	0,899402797222137	-0,789422750473022
289,246	0,979481995105743	-2,17969346046448
290,245	-0,433535754680634	-0,150571644306183
291,234	0,82800555229187	-0,977037131786346
292,237	0,74419504404068	-0,263140290975571
293,237	-1,04803919792175	0,150092452764511
294,234	-1,2418669462204	-0,263140290975571
295,23	-1,24884462356567	9,39575329539366E-7
296,229	-0,984187722206116	-1,3532280921936
297,223	0,148919463157654	-0,375708937644958
298,218	0,138616442680359	-3,08168578147888
299,214	0,184781134128571	-0,826945602893829
300,219	0,00807214807718992	-4,24681949615479
301,208	0,187458395957947	-0,864468514919281
302,21	0,477590888738632	-4,73557901382446
303,205	0,696813225746155	-0,751899838447571
304,2	0,262993067502975	-3,26978135108948
305,205	1,00852692127228	-0,67637300491333
306,201	1,09785497188568	-2,25522041320801
307,194	1,14604794979095	-0,413712859153748
308,189	0,0293293185532093	-0,751899838447571
309,191	0,922607183456421	-0,150571644306183
310,192	0,769832611083984	-0,413712859153748
311,182	0,658112287521362	-0,413712859153748
312,182	0,448789000511169	-0,0750448182225227
313,179	0,294960349798203	-0,638850152492523
314,173	0,211229801177979	0,0750467032194138
315,173	0,15833143889904	-1,31570518016815
316,175	-0,826707661151886	1,277703166008
317,17	0,12384994328022	-1,80398368835449
318,168	0,148108392953873	0,751420676708221
319,168	-0,139914900064468	-1,3532280921936
320,167	0,124499008059502	1,95407712459564
321,157	0,210256710648537	-2,66845321655273
322,159	0,551260411739349	0,864470362663269
323,152	0,297637611627579	-1,42827379703522
324,151	0,329927861690521	2,29226398468018
325,151	1,05096030235291	-2,55588436126709
326,142	0,178939536213875	0,676374912261963
327,144	0,936318576335907	-1,65389215946198
328,141	1,10215544700623	-0,263140290975571
329,134	-1,46441555023193	-0,263140290975571
330,141	0,572192549705505	-0,451235741376877
331,136	0,862406075000763	-0,263140290975571
332,13	0,145269110798836	-0,789422750473022
333,128	0,0131836719810963	9,39575329539366E-7
334,129	0,164822101593018	-1,80398368835449
335,127	0,0332237146794796	0,638852000236511
336,122	-0,0653533115983009	-0,789422750473022
337,12	0,126689225435257	1,50332140922546
338,113	0,0984553694725037	-0,375708937644958
339,115	0,193705007433891	4,81062650680542
340,113	0,265589326620102	0,638852000236511
341,107	0,324735343456268	4,5474853515625
342,107	0,356702625751495	9,39575329539366E-7
343,101	0,333741247653961	2,10464978218079
344,096	0,255204290151596	-0,375708937644958
345,095	0,150785654783249	0,901993274688721
346,099	0,983213365077972	-1,12760972976685
347,093	0,868409633636475	-0,150571644306183
348,088	-0,486597150564194	-0,3006631731987
349,09	0,43767386674881	-0,375708937644958
350,083	-1,07456994056702	0,0750467032194138
351,08	-1,15903055667877	9,39575329539366E-7
352,079	0,0977252945303917	0,450756549835205
353,075	0,00166249123867601	-0,751899838447571
354,07	-1,082115650177	3,15673351287842
355,074	0,212852984666824	-2,48035764694214
356,064	-0,520591557025909	3,45739769935608
357,068	0,187133356928825	0,0750467032194138
358,062	0,27970677614212	2,40531373023987
359,057	0,317352592945099	-0,714376986026764
360,059	0,384044378995895	1,35274887084961
361,057	0,371712148189545	-0,714376986026764
362,054	0,333255231380463	1,87903130054474
363,046	0,223644092679024	-0,714376986026764
364,044	0,053750816732645	0,601329147815704
365,047	-0,169771939516068	-0,375708937644958
366,043	-0,424692869186401	0,150092452764511
367,038	-0,766993641853333	-0,113048762083054
368,035	-1,15440499782562	0,0375238209962845
369,036	0,0570771507918835	0,33818793296814
